protein_id,n_verts,clean_n,clean_mean_abs_esp,clean_p50_abs_esp,clean_p95_abs_esp,clean_p99_abs_esp,clean_max_abs_esp,embedded_n,embedded_frac,embedded_mean_abs_esp,embedded_p50_abs_esp,embedded_p95_abs_esp,embedded_p99_abs_esp,embedded_max_abs_esp,embedded_n_query,deep_n,deep_frac,deep_mean_abs_esp,deep_max_abs_esp,deep_n_query,max_penetration_A
AF-F4JC20-F1,249244,217011,2.9462532997131348,2.686067819595337,6.596606731414795,8.289843559265137,12.277841567993164,32233,0.12932307297266935,3.3371458053588867,3.143489360809326,7.189651012420654,8.795602798461914,11.682111740112305,1515,0,0.0,nan,nan,0,0.29989791900360463
AF-Q54IT1-F1,177387,155523,1.4430466890335083,1.1081949472427368,3.9265408515930176,5.828409671783447,14.655304908752441,21864,0.1232559319454075,1.381831169128418,1.0993337631225586,3.6394381523132324,5.506525039672852,16.00933074951172,996,0,0.0,nan,nan,0,0.2985433437376177
AF-D3YXK2-F1,215122,189152,4.563115119934082,4.3381195068359375,9.725871086120605,13.002826690673828,17.25590705871582,25970,0.12072219484757486,5.147926330566406,4.919858455657959,10.694915771484375,14.058810234069824,17.556058883666992,1283,0,0.0,nan,nan,0,0.2938272891044599
AF-Q9NL40-F1,162159,142688,1.5281776189804077,1.1917169094085693,4.0280656814575195,5.852907657623291,14.560543060302734,19471,0.12007350810007462,1.6162000894546509,1.352241039276123,3.9497151374816895,5.723921775817871,13.655521392822266,932,0,0.0,nan,nan,0,0.2792767975348236
AF-A0A0A2K6S6-F1,171245,150731,1.9835076332092285,1.6838326454162598,4.852933406829834,7.07368803024292,11.972068786621094,20514,0.11979327863587258,1.8043122291564941,1.4643360376358032,4.560050964355469,6.317715644836426,11.679943084716797,977,0,0.0,nan,nan,0,0.0007977139337060901
AF-P0CAY2-F1,10142,8929,2.501703977584839,2.12752628326416,5.81119441986084,8.616365432739258,12.092108726501465,1213,0.11960165647801223,2.285771369934082,1.8946739435195923,5.672970771789551,8.072365760803223,11.918391227722168,53,0,0.0,nan,nan,0,0.2845858339012888
AF-Q9LDE1-F1,67706,59643,2.2212536334991455,1.960335373878479,5.233820915222168,6.855701446533203,17.464780807495117,8063,0.11908841166218652,2.4614458084106445,2.3424174785614014,5.230386734008789,6.615286350250244,12.116436004638672,366,0,0.0,nan,nan,0,0.29426798469274307
AF-Q14153-F1,102113,89986,1.832851767539978,1.4683616161346436,4.790891647338867,6.049734115600586,8.858851432800293,12127,0.11876058875951152,1.9857264757156372,1.6533474922180176,4.963177680969238,6.285593032836914,8.276372909545898,568,0,0.0,nan,nan,0,0.27889825507550936
AF-B2C6R6-F1,156013,137550,2.023480176925659,1.757284164428711,4.765873908996582,6.145906448364258,11.21851634979248,18463,0.1183427022107132,1.8198245763778687,1.4440945386886597,4.785038471221924,6.22966194152832,10.79824447631836,878,0,0.0,nan,nan,0,0.26827873773643474
AF-P49762-F1,162417,143245,2.5568602085113525,2.3643624782562256,5.467806339263916,7.153688430786133,13.722282409667969,19172,0.11804183059655085,2.1764285564422607,1.8748505115509033,5.284997940063477,7.0134663581848145,13.225263595581055,827,0,0.0,nan,nan,0,0.29890755807132763
